Company Name,Designation,Founded Year,Total Employees,Industry,Latest Funding Amount,Annual Revenue,Company Linkedin Url,Growth Alert,Workday Status,No.of People in CX sheet,No.of phone number,Account Status
Fourchain Technologies,Founder & CEO,2024,8,information technology & services,Not Known,1900000.0,http://www.linkedin.com/company/fourchain,Not Defined,Not Known,0.0,0.0,Active
Curry it,Co-Founder,2020,10,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/curryit/,Not Defined,Not Known,0.0,0.0,Active
OrbitAID Aerospace,Co-Founder & CMO,2021,10,defense & space,Not Known,1900000.0,https://www.linkedin.com/company/orbitaid-aerospace,Not Defined,Not Known,0.0,0.0,Active
WebGTR,Co-Founder & CEO,2020,4,information technology & services,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Leute Passen,Founder & Director,2021,8,management consulting,Not Known,1900000.0,http://www.linkedin.com/company/leute-passen,Not Defined,Not Known,0.0,0.0,Active
Time2Digital Media,CMO and Performance Marketer,2020,2,marketing & advertising,Not Known,1900000.0,http://www.linkedin.com/company/time2digitalmedia,Not Defined,Not Known,0.0,0.0,Active
Webox Designs,Founder and Project Director - Webox Designs,2020,2,marketing & advertising,Not Known,1900000.0,http://www.linkedin.com/company/webox-designs,Not Defined,Not Known,0.0,0.0,Active
Hoppup,Co-founder,2021,7,electrical/electronic manufacturing,Not Known,1900000.0,https://www.linkedin.com/company/hoppupindia,Not Defined,Not Known,0.0,0.0,Active
ANIMAGTICS TECHNOLOGIES PRIVATE LIMITED,Co-Founder,2020,2,information technology & services,Not Known,1900000.0,http://www.linkedin.com/company/animagtics-technologies-private-limited,Not Defined,Not Known,0.0,0.0,Active
EMAS Design,Founder and Managing Director,2021,7,animation,Not Known,1900000.0,http://www.linkedin.com/company/emasdesign,Not Defined,Not Known,0.0,0.0,Active
Heka Bites,Co-Founder,2020,4,food & beverages,Not Known,1900000.0,http://www.linkedin.com/company/heka-bites,Not Defined,Not Known,0.0,0.0,Active
Dandera Ventures,Co-Founder / Director,2020,10,automotive,Not Known,1900000.0,https://www.linkedin.com/company/dandera/,Not Defined,Not Known,0.0,0.0,Active
Experts Industries,Founder & Managin Partner,2021,2,mechanical or industrial engineering,Not Known,1900000.0,http://www.linkedin.com/company/expert-induatries,Not Defined,Not Known,0.0,0.0,Active
SamMegh Technologies,"Founder, CEO",2020,7,information technology & services,Not Known,1900000.0,http://www.linkedin.com/company/sammegh-technologies,Not Defined,Not Known,0.0,0.0,Active
ClouDigital,Founder,2020,1,marketing & advertising,Not Known,1900000.0,http://www.linkedin.com/company/cloudigital-multi-ventures-pvt-ltd,Not Defined,Not Known,0.0,0.0,Active
KYM Global Insights,Founder and Sales Head,2021,7,market research,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
GreenSupply,Chief Product Officer,2020,8,farming,Not Known,1900000.0,https://www.linkedin.com/company/greensupplyagro/,Not Defined,Not Known,0.0,0.0,Inactive
Alienity Technologies,Founder,2022,8,information technology & services,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Not Active
