Company Name,Designation,Founded Year,Total Employees,Industry,Latest Funding Amount,Annual Revenue,Company Linkedin Url,Growth Alert,Workday Status,No.of People in CX sheet,No.of phone number,Account Status
IndoAI technologies,Co-Founder and Chief Financial Officer,2021,21,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/indoai-technologies/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
PatilKaki,Founders office - Stratergic partnership and growth lead .,2021,23,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/patilkaki/,Not Defined,Not Known,0.0,0.0,Active
Blod.in,COO,2021,25,hospital & health care,Not Known,3000000.0,https://www.linkedin.com/company/blod-in/,Not Defined,Not Known,0.0,0.0,Active
NeuralGarage,Co-Founder and Chief of Product,2021,35,information technology & services,Not Known,1200000.0,https://www.linkedin.com/company/neuralgarage,Not Defined,Not Known,0.0,0.0,Active
Go Zero,Founders Office - Special Projects,2022,25,food & beverages,1474401,2100000.0,https://www.linkedin.com/company/lets-go-zero/,Not Defined,Not Known,0.0,0.0,Active
Mindgrove,Chief Operating Officer,2021,35,semiconductors,2325000,800000.0,https://www.linkedin.com/company/mindgrovetech/,Not Defined,Not Known,0.0,0.0,Active
The Eat Better Company,Co-Founder,2020,35,food & beverages,725000,1900000.0,https://www.linkedin.com/company/eat-better-ventures/about/,Not Defined,Not Known,0.0,0.0,Active
Edukemy,Chief Business Officer,2020,44,e-learning,2000000,1900000.0,https://www.linkedin.com/company/edukemy-services-pvt-ltd/,Not Defined,Not Known,0.0,0.0,Active
Cyber Warfare,Chief Operating Officer,2020,23,computer & network security,Not Known,1900000.0,https://www.linkedin.com/company/cwlabspvtltd,Not Defined,Not Known,0.0,0.0,Inactive
Zintlr,Founder,2022,25,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/zintlr/,Not Defined,Not Known,0.0,0.0,Inactive
Humanify Technologies,Chief Revenue Officer (CRO),2023,21,market research,Not Known,1200000.0,https://www.linkedin.com/company/humanifytechnologies/,Not Defined,Not Known,0.0,0.0,Active
Powerhouse91,Chief Business Officer,2020,41,consumer goods,Not Known,114000.0,https://www.linkedin.com/company/ph91india/about/,Not Defined,Not Known,0.0,0.0,Active
Quinn,"Co-Founder, CEO",2021,34,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/tryquinn,Not Defined,Not Known,0.0,0.0,Not Active
Third Unicorn,Co-Founder,2022,39,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/third-unicorn,Not Defined,Not Known,0.0,0.0,Not Active
Wyb,Founder & CEO,2023,32,internet,Not Known,1900000.0,https://www.linkedin.com/company/wyb-social/about/,Not Defined,Not Known,0.0,0.0,Active
Vareyn Solar,Founder Vareyn Solar private limited,2015,21,environmental services,Not Known,1900000.0,http://www.linkedin.com/company/vareynsolar,NO,No Match,0.0,0.0,Active
Paavan,Owner,2021,32,"health, wellness & fitness",500000,1900000.0,https://www.linkedin.com/company/paavanapp,Not Defined,Not Known,0.0,0.0,Not Active
Project Hero,Chief Executive Officer,2021,24,construction,3200000,1000000.0,https://www.linkedin.com/company/projectheroes/,Not Defined,Not Known,0.0,0.0,Active
Samhitha,Chief Technology Officer,2020,30,aviation & aerospace,1500000,800000.0,https://www.linkedin.com/company/samhitha-crop-care-clinic,Not Defined,Not Known,0.0,0.0,Active
Dwija Foods,Chief Transformation Officer,2020,27,food & beverages,643848,1900000.0,https://www.linkedin.com/company/dwija-foods-private-limited/,Not Defined,Not Known,0.0,0.0,Not Active
Incredible,Owner,2021,21,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/incredibletechnologies/,Not Defined,Not Known,0.0,0.0,Active
honc,Product Owner,2020,35,information technology & services,400000,1900000.0,https://www.linkedin.com/company/honc,Not Defined,Not Known,0.0,0.0,Not Active
Fuselage Innovations,Chief Technology Officer,2020,38,aviation & aerospace,Not Known,1900000.0,https://www.linkedin.com/company/fuselageinnovations/,Not Defined,Not Known,0.0,0.0,Active
Avay Biosciences,Chief Operating Officer,2017,24,research,Not Known,1900000.0,https://www.linkedin.com/company/avay-biosciences/,Not Defined,Not Known,0.0,0.0,Not Active
Cookd,Chief Culinary Officer,2020,44,consumer services,600000,1900000.0,https://www.linkedin.com/company/cookdtv/,Not Defined,Not Known,0.0,0.0,Active
All Is Well,Owner,2022,28,sports,250000,1900000.0,https://www.linkedin.com/company/all-is-well-app,Not Defined,Not Known,0.0,0.0,Active
BattRE Electric Mobility,Founder,2017,41,automotive,Not Known,1900000.0,https://www.linkedin.com/company/battre/,Not Defined,Not Known,0.0,0.0,Not Active
Xindus,Cofounder,2022,45,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/xindusforexim/,Not Defined,Not Known,0.0,0.0,Active
LogiPe,Co-Founder & CTO,2021,49,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/logipe/,Not Defined,Not Known,0.0,0.0,Not Active
Predis.ai,Co-Founder,2020,24,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/predis-ai/,Not Defined,Not Known,0.0,0.0,Not Active
Kidex,CEO & Director,2020,31,education management,Not Known,1900000.0,http://linkedin.com/company/kidex,Not Defined,Not Known,0.0,0.0,Not Active
TyrePlex,Founder & COO,2020,40,information technology & services,1505604,1900000.0,https://www.linkedin.com/company/tyreplex/,Not Defined,Not Known,0.0,0.0,Not Active
Flyy,"Co-founder, CEO",2020,23,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/theflyy,Not Defined,Not Known,0.0,0.0,Not Active
Mistry.Store,CFO | Commercial | Sourcing,2022,33,building materials,2000000,1900000.0,https://www.linkedin.com/company/mistrystore/,Not Defined,Not Known,0.0,0.0,Active
Krishikan,Co-Founder & CEO,2020,22,wholesale,Not Known,1900000.0,https://in.linkedin.com/company/krishikan-krishikan-private-limited,Not Defined,Not Known,0.0,0.0,Active
EdgeGrid,Co-Founder,2022,32,information technology & services,6000000,50000.0,https://www.linkedin.com/company/edgegrid/,Not Defined,Not Known,0.0,0.0,Active
FermionIC Design,Co-Founder and Architect,2020,32,semiconductors,Not Known,1900000.0,https://www.linkedin.com/company/fermionic-design,Not Defined,Not Known,0.0,0.0,Active
FanClash,Founder,2020,40,computer games,40000000,1111000.0,https://www.linkedin.com/company/fanclash,Not Defined,Not Known,0.0,0.0,Active
Superfone,Co-Founder,2021,43,information technology & services,1800000,1900000.0,http://www.linkedin.com/company/getwasabi,NO,No Match,0.0,0.0,Not Active
EVA2Z Electric,Founder & CEO,2022,22,automotive,Not Known,1900000.0,https://www.linkedin.com/company/eva2zofficial/,Not Defined,Not Known,0.0,0.0,Active
The Designer's Class,CEO,2020,40,e-learning,1000000,1900000.0,https://www.linkedin.com/company/the-designers-class,Not Defined,Not Known,0.0,0.0,Not Active
Swasthu,Chief Operating Officer,2013,33,nonprofit organization management,Not Known,29667000.0,http://www.linkedin.com/company/iimlucknowincubator,Not Defined,No Match,0.0,0.0,Not Active
SafEarth,Co-Founder,2017,42,information technology & services,426601,1500000.0,https://www.linkedin.com/company/safearth-clean-technologies-pvt-ltd,Not Defined,Not Known,0.0,0.0,Not Active
Hera,Founder and CEO,2015,23,"health, wellness & fitness",1000000,1900000.0,https://www.linkedin.com/company/heranow/,Not Defined,No Match,0.0,0.0,Not Active
iXR Labs,"Co-Founder & Head of Products, Strategic Alliances and Partnerships",2020,26,e-learning,800000,1900000.0,https://www.linkedin.com/company/ixr-labs,Not Defined,Not Known,0.0,0.0,Not Active
The Hobby Tribe,Co-Founder and CTO,2019,22,education management,Not Known,1900000.0,https://www.linkedin.com/company/the-hobby-tribe,Not Defined,Not Known,0.0,0.0,Active
Aurassure,Chief Operating Officer,2022,35,environmental services,480252,100000.0,https://www.linkedin.com/company/aurassure,Not Defined,Not Known,0.0,0.0,Inactive
Airth,CEO & Founder,2020,29,research,Not Known,1900000.0,https://www.linkedin.com/company/airth-research/,Not Defined,Not Known,0.0,0.0,Active
LineupX,Founder & CEO,2020,29,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/lineup-x,Not Defined,Not Known,0.0,0.0,Active
Kuddle,Co-Founder,2021,44,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/kuddle-pet/,Not Defined,Not Known,0.0,0.0,Active
BHIVE Alts,Cofounder,2020,32,financial services,Not Known,123000.0,https://www.linkedin.com/company/bhivealts,Not Defined,Not Known,0.0,0.0,Active
42 Card Solutions,Co-Founder,2020,24,outsourcing/offshoring,Not Known,1900000.0,https://www.linkedin.com/company/42-card-solutions-pvt-ltd,Not Defined,Not Known,0.0,0.0,Active
AIRMESH,"Founder, CEO",2020,50,investment management,Not Known,1900000.0,https://www.linkedin.com/company/airmesh,Not Defined,Not Known,0.0,0.0,Not Active
Intoglo,Co-Founder and CEO,2022,31,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/intoglo,Not Defined,Not Known,0.0,0.0,Active
Revidd,"Co-Founder, CEO",2020,40,information technology & services,1100000,700000.0,https://www.linkedin.com/company/revidd,Not Defined,Not Known,0.0,0.0,Active
Anniyam,Chief Operating Officer,2021,34,financial services,Not Known,1900000.0,https://www.linkedin.com/company/anniyam/,Not Defined,Not Known,0.0,0.0,Active
Skills Caravan,Co-Founder,2022,22,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/skills-caravan/,Not Defined,Not Known,0.0,0.0,Active
Medoc Health,Chief Executive Officer,2022,47,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/medochealth,Not Defined,Not Known,0.0,0.0,Inactive
Beanly,Co-Founder,2018,22,mechanical or industrial engineering,Not Known,1900000.0,https://www.linkedin.com/company/beanly-coffee/,Not Defined,Not Known,0.0,0.0,Active
Grel Cabs,Co-Founder,2023,22,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/snm-cabs,Not Defined,Not Known,0.0,0.0,Active
Circuit House Technologies,Co-Founder,2024,18,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/circuit-house-tech,Not Defined,Not Known,0.0,0.0,Active
Loyka,Founder,2017,46,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/loyka/,Not Defined,Not Known,0.0,0.0,Active
The Butternut company,Founder,2016,21,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/the-butternut-co/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Not Active
Food Square,Co-Founder,2023,24,retail,Not Known,1900000.0,https://www.linkedin.com/company/food-square-india/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
The Cinnamon Kitchen,Founder,2019,21,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/the-cinnamon-kitchen/,Not Defined,Not Known,0.0,0.0,Not Active
Juleo,Co-Founder,2023,21,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/juleo-club,Not Defined,Not Known,0.0,0.0,Not Active
Svish on The Go,Founder & Ceo,2020,23,"health, wellness & fitness",Not Known,1900000.0,https://www.linkedin.com/company/svish/,Not Defined,Not Known,0.0,0.0,Active
FarmDidi,Co-Founder & COO,2021,27,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/farm-didi,Not Defined,Not Known,0.0,0.0,Active
Traqo,Co-Founder,2018,22,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/traqo-in/?viewAsMember=true,Not Defined,Not Known,0.0,0.0,Active
DealDox CPQ,Co-Founder,2022,26,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/dealdox,Not Defined,Not Known,0.0,0.0,Active
Cloudworx,CTO & Co-Founder,2019,23,information technology & services,600000,1000000.0,https://www.linkedin.com/company/cloudworxstudio/,Not Defined,Not Known,0.0,0.0,Active
Phot.ai,Co-Founder,2022,38,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/phot-ai,Not Defined,Not Known,0.0,0.0,Active
Shoffr,Founder & CEO,2022,35,transportation/trucking/railroad,Not Known,1900000.0,https://www.linkedin.com/company/shoffr-mobility/,Not Defined,Not Known,0.0,0.0,Active
OmniCard,Co-founder & CEO,2018,49,financial services,Not Known,1900000.0,https://www.linkedin.com/company/myomnicard/,Not Defined,Not Known,0.0,0.0,Inactive
LAIQA,Co-founder & CTO,2019,33,"health, wellness & fitness",1800000,1900000.0,https://www.linkedin.com/company/ourlaiqa,Not Defined,Not Known,0.0,0.0,Active
kindlife,Co-Founder,2021,37,information technology & services,8000000,645000.0,https://www.linkedin.com/company/kindlife-in/,Not Defined,Not Known,0.0,0.0,Active
ProFinTech Technologies,Founder and CEO,2022,31,financial services,Not Known,1900000.0,https://www.linkedin.com/company/profintech-technologies/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
BiteSpeed,Founder & CEO,2019,37,information technology & services,1900000,1900000.0,https://www.linkedin.com/company/bitespeed,Not Defined,Not Known,0.0,0.0,Active
Cava Athleisure,Co-Founder,2020,29,apparel & fashion,Not Known,1900000.0,https://www.linkedin.com/company/cava-athleisure/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
Cognitensor,Co-Founder & CEO,2018,34,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/cognitensor/,Not Defined,Not Known,0.0,0.0,Not Active
Datachamps,Co-Founder & CEO,2020,24,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/datachamps-ai/,Not Defined,Not Known,0.0,0.0,Active
Biofics,CEO,2016,45,environmental services,Not Known,1900000.0,https://www.linkedin.com/company/biofics-private-limited/,Not Defined,Not Known,0.0,0.0,Active
Consint,Founder,2020,30,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/consint-ai/,Not Defined,Not Known,0.0,0.0,Active
MotorPedia,Co-Founder & CEO,2023,44,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/motorpedia/,Not Defined,Not Known,0.0,0.0,Inactive
Dart Innovations,Co-Founder & Director,2006,37,information technology & services,Not Known,7709000.0,https://www.linkedin.com/company/dart-innovations,Not Defined,Not Known,0.0,0.0,Not Active
Prepseed,Co-Founder,2021,22,information technology & services,245880,1900000.0,https://www.linkedin.com/company/prepseed,Not Defined,Not Known,0.0,0.0,Not Active
DevDham,Founder,2020,23,religious institutions,Not Known,1900000.0,https://www.linkedin.com/company/devdham,Not Defined,Not Known,0.0,0.0,Inactive
ReDesyn,Co-Founder & Product Lead,2021,25,internet,426125,1600000.0,https://www.linkedin.com/company/redesyn,Not Defined,Not Known,0.0,0.0,Not Active
Klassroom Edutech,Co-Founder,2016,38,government administration,450000,4500000.0,http://www.linkedin.com/company/fusion-klassroom-edutech-pvt-ltd.,NO,No Match,0.0,0.0,Active
DIAL4242,Co-Founder & COO,2016,22,hospital & health care,120612,4000000.0,https://www.linkedin.com/company/dial4242.com/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
Eunimart,Co Founder,2016,32,information technology & services,700000,9000000.0,https://www.linkedin.com/company/eunimartltd/,Not Defined,Not Known,0.0,0.0,Not Active
Ecowrap,Co-Founder,2020,30,environmental services,Not Known,1900000.0,https://www.linkedin.com/company/ecowrap,Not Defined,Not Known,0.0,0.0,Inactive
Quickwork,Co-Founder & Chief Business Officer,2015,43,information technology & services,2500000,800000.0,https://www.linkedin.com/company/quickwork,Not Defined,Not Known,0.0,0.0,Inactive
ParkSmart,Co-Founder,2019,38,online media,Not Known,1900000.0,https://www.linkedin.com/company/parksmarthq/,Not Defined,Not Known,0.0,0.0,Inactive
AltiusHub,Co-Founder,2023,41,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/altiushub,Not Defined,Not Known,0.0,0.0,Active
Waltr,Co-Founder,2018,42,electrical/electronic manufacturing,Not Known,1900000.0,https://www.linkedin.com/company/kre38labs,Not Defined,Not Known,0.0,0.0,Not Active
Kidbea,Founder,2021,25,apparel & fashion,Not Known,7200000.0,https://www.linkedin.com/company/kidbea,Not Defined,Not Known,0.0,0.0,Active
GetSetHome,Co Founder,2014,43,consumer services,1000000,1462000.0,https://www.linkedin.com/company/getsethome-com,Not Defined,Not Known,0.0,0.0,Active
Biocliq Technologies,Co-Founder,2020,35,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/biocliqai,Not Defined,Not Known,0.0,0.0,Not Active
BabyOrgano,Founder,2020,49,"health, wellness & fitness",714792,1900000.0,https://www.linkedin.com/company/14568330/,Not Defined,Not Known,0.0,0.0,Inactive
Heltar,Co-Founder,2022,25,information technology & services,Not Known,1900000.0,https://in.linkedin.com/company/heltar,Not Defined,Not Known,0.0,0.0,Active
upsurge,Founder,2022,23,e-learning,Not Known,1900000.0,https://www.linkedin.com/company/upsurgeindia,Not Defined,Not Known,0.0,0.0,Active
Optimizers,Co-Founder & Director,2020,46,hospital & health care,Not Known,1900000.0,https://www.linkedin.com/company/optimizers-b-v-,Not Defined,Not Known,0.0,0.0,Active
OmniBRx Biotechnologies,Chief Technology Officer,2016,49,research,3657600,1200000.0,https://www.linkedin.com/company/omnibrx-biotechnologies,Not Defined,Not Known,0.0,0.0,Active
LanguifyAI,CEO,2021,30,e-learning,Not Known,1900000.0,https://www.linkedin.com/company/languify/,Not Defined,Not Known,0.0,0.0,Not Active
Dubpro.ai,Co-Founder and CTO,2020,40,research,Not Known,1900000.0,https://www.linkedin.com/company/deepsync/,Not Defined,Not Known,0.0,0.0,Active
Glamplus,Co-Founder,2020,51,information technology & services,1985379,1000000.0,https://www.linkedin.com/company/glamplus,Not Defined,Not Known,0.0,0.0,Active
Bansiwala,Founder & CEO at Bansiwala,2020,30,food & beverages,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Myrsa Technology Solutions,Co-Founder & Chief Technology Officer,2016,31,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/myrsa-technology-solutions/,Not Defined,Not Known,0.0,0.0,Not Active
One24,Founder & Group CEO,2024,25,"health, wellness & fitness",Not Known,1900000.0,https://in.linkedin.com/company/one24-india,Not Defined,Not Known,0.0,0.0,Active
LetsDressUp,Co-Founder,2019,25,information technology & services,1300000,1825000.0,https://www.linkedin.com/company/letsdressup-ldu,Not Defined,Not Known,0.0,0.0,Inactive
ZEPIC,Co-Founder,2023,33,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/zepic/,Not Defined,Not Known,0.0,0.0,Active
Rannkly,Co-Founder,2019,50,information technology & services,185000,1900000.0,https://www.linkedin.com/company/rannkly,Not Defined,Not Known,0.0,0.0,Inactive
QuID Cash,Co-Founder,2023,26,financial services,Not Known,1900000.0,https://www.linkedin.com/company/quidcash/,Not Defined,Not Known,0.0,0.0,Inactive
PrivaSapien,COO & Co-Founder,2020,24,information technology & services,1000000,1900000.0,https://www.linkedin.com/company/privasapien/,Not Defined,Not Known,0.0,0.0,Inactive
Proost69,CEO & Co-Founder,2017,49,wine & spirits,3010500,1300000.0,https://www.linkedin.com/company/grano69-beverages-pvt-ltd/about/,Not Defined,Not Known,0.0,0.0,Active
Plotch,"Founder, plotch.ai - The ONDC ecommerce expert",2020,35,information technology & services,Not Known,1200000.0,https://www.linkedin.com/company/plotch,Not Defined,Not Known,0.0,0.0,Active
FreightFox,CoFounder and CTO,2020,22,logistics & supply chain,600000,1900000.0,https://www.linkedin.com/company/freightfox-ai,Not Defined,Not Known,0.0,0.0,Active
PeAr Technologies,Co-founder,2018,32,information technology & services,508339,1000000.0,https://www.linkedin.com/company/14494257/admin/,Not Defined,Not Known,0.0,0.0,Active
PAZO,Co Founder and CEO,2016,39,information technology & services,Not Known,500000.0,https://www.linkedin.com/company/go-pazo,Not Defined,Not Known,0.0,0.0,Not Active
Ossus Biorenewables,Co-Founder,2017,29,research,2400000,1900000.0,https://www.linkedin.com/company/ossus-biorenewables/about/,Not Defined,Not Known,0.0,0.0,Active
EyeROV,"CEO, Co-Founder",2016,48,maritime,1200000,1000000.0,https://www.linkedin.com/company/eyerov,Not Defined,Not Known,0.0,0.0,Inactive
Fleek,CEO & Founder,2021,50,financial services,1000000,1900000.0,https://www.linkedin.com/company/getfleekapp/,Not Defined,Not Known,0.0,0.0,Active
Fitspire,CoFounder & Director,2020,41,"health, wellness & fitness",Not Known,1900000.0,https://www.linkedin.com/company/fitspirefit,Not Defined,Not Known,0.0,0.0,Active
OneAssure,Founder & CEO,2019,23,insurance,Not Known,1900000.0,https://www.linkedin.com/company/oneassure,Not Defined,Not Known,0.0,0.0,Active
ONO,Co-founder & Chief,2021,33,information technology & services,Not Known,1900000.0,https://linkedin.com/in/ono-ag-28350b212,Not Defined,Not Known,0.0,0.0,Active
OneStack,Co-Founder,2019,29,financial services,2000000,3000000.0,https://www.linkedin.com/company/onestack-india,Not Defined,Not Known,0.0,0.0,Active
OnePlay,Co-Founder & CTO,2019,39,computer games,1800000,1200000.0,https://in.linkedin.com/company/oneplay-world,Not Defined,Not Known,0.0,0.0,Not Active
Offee,Co-Founder,2017,33,government administration,630635,1900000.0,https://www.linkedin.com/company/offee-digital/,Not Defined,Not Known,0.0,0.0,Inactive
NOTO,Co-Founder,2019,39,consumer goods,2000000,200000.0,https://www.linkedin.com/company/noto-low-calorie-healthy-ice-cream/,Not Defined,Not Known,0.0,0.0,Not Active
Neodocs,Co-Founder,2020,43,"health, wellness & fitness",2000000,1000000.0,https://www.linkedin.com/company/neodocs,Not Defined,Not Known,0.0,0.0,Inactive
Nexxio Technologies,"Founder, CEO",2020,28,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/nexxio-tech/,Not Defined,Not Known,0.0,0.0,Active
EMO,Co-Founder,2022,43,oil & energy,1200000,1900000.0,https://www.linkedin.com/company/emoenergy,Not Defined,Not Known,0.0,0.0,Active
Yatrikart,Co-Founder,2021,52,retail,450000,1900000.0,https://www.linkedin.com/company/75870055/admin/feed/posts/,Not Defined,Not Known,0.0,0.0,Inactive
Zapkey,Cofounder,2020,34,real estate,Not Known,44000.0,https://www.linkedin.com/company/zapkeyindia,Not Defined,Not Known,0.0,0.0,Active
MatchLog,Co-Founder,2019,49,information technology & services,1500000,1222000.0,https://www.linkedin.com/company/matchlog-solutions-pvt-ltd/,Not Defined,Not Known,0.0,0.0,Active
Mave Health,Co-Founder & CTO,2023,26,mental health care,Not Known,1900000.0,https://www.linkedin.com/company/mavehealth/about,Not Defined,Not Known,0.0,0.0,Active
Mainstreet,Founder,2019,38,apparel & fashion,2000000,1900000.0,https://www.linkedin.com/company/mainstreet1,Not Defined,Not Known,0.0,0.0,Not Active
Crediwatch,Founder and CEO,2016,43,information services,3200000,292000.0,http://www.linkedin.com/company/crediwatch,NO,No Match,0.0,0.0,Active
Vitra.ai,Co-Founder,2020,43,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/vitra-ai,Not Defined,Not Known,0.0,0.0,Inactive
Vobble,Co-Founder & CPO,2022,30,media production,Not Known,1900000.0,https://www.linkedin.com/company/vobble,Not Defined,Not Known,0.0,0.0,Active
Lifetime Health,CEO & Co-Founder,2023,23,hospital & health care,Not Known,1900000.0,https://www.linkedin.com/company/lifetimehealthin,Not Defined,Not Known,0.0,0.0,Inactive
LivNSense Technologies,Founder & Director,2018,44,machinery,2750000,298000.0,https://www.linkedin.com/company/livnsense-technologies-pvt-ltd/,Not Defined,Not Known,0.0,0.0,Active
Vayve Mobility,Co-Founder,2021,24,automotive,Not Known,1900000.0,https://www.linkedin.com/company/vayve-mobility/,Not Defined,Not Known,0.0,0.0,Active
LaundryMate,Co-Founder & CMO,2021,40,consumer services,6250000,1500000.0,https://www.linkedin.com/company/laundrymateindia,Not Defined,Not Known,0.0,0.0,Inactive
Trezix Software Pvt Limited,Co-Founder,2022,43,information technology & services,1200000,1900000.0,https://www.linkedin.com/company/trezix-innovation,Not Defined,Not Known,0.0,0.0,Not Active
The Betel Leaf Co.,Co-Founder,2019,22,food & beverages,1200000,2111000.0,https://in.linkedin.com/company/thebetelleafco,Not Defined,Not Known,0.0,0.0,Inactive
Klaar,Co Founder,2022,35,information technology & services,800000,1900000.0,https://www.linkedin.com/company/klaarhrtech/,Not Defined,Not Known,0.0,0.0,Not Active
Brown Living,Founder & CEO,2019,22,internet,Not Known,1900000.0,https://www.linkedin.com/company/brown-living,Not Defined,Not Known,0.0,0.0,Not Active
JEH Aerospace,Co-Founder,2022,43,aviation & aerospace,Not Known,1900000.0,https://www.linkedin.com/company/jeh.aero,NO,No Match,0.0,0.0,Active
BNZ Green,Co-Founder,2023,20,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/become-net-zero/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
BON V Aero,Co-Founder & Chief of Design,2021,41,aviation & aerospace,Not Known,1900000.0,https://www.linkedin.com/company/bonv-technology-pvt-ltd,Not Defined,Not Known,0.0,0.0,Not Active
IndicWisdom,Co-Founder,2016,36,retail,Not Known,1900000.0,https://www.linkedin.com/company/indic-wisdom-private-limited/,Not Defined,Not Known,0.0,0.0,Active
Ayna,Co-Founder,2023,30,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/getayna,Not Defined,Not Known,0.0,0.0,Not Active
Automovill,Co-Founder -Chief Business Officer,2015,48,automotive,264235,1000000.0,https://www.linkedin.com/company/automovill/,Not Defined,Not Known,0.0,0.0,Not Active
Sploot,Co-Founder,2019,48,consumer services,800000,28315000.0,https://in.linkedin.com/company/wesploot,Not Defined,Not Known,0.0,0.0,Not Active
SpaceFields,Founder & CEO,2020,23,defense & space,Not Known,1900000.0,https://www.linkedin.com/company/spacefields/,Not Defined,Not Known,0.0,0.0,Active
immunitoAI,Co-Founder and CTO,2020,24,research,1000000,1900000.0,http://www.linkedin.com/company/immunitoai,NO,No Match,0.0,0.0,Active
Aryastha Life Sciences,Co-Founder & CEO,2023,36,research,Not Known,1900000.0,https://www.linkedin.com/company/aryastha-life-sciences,Not Defined,Not Known,0.0,0.0,Active
Simyog Technology,Co-Founder,2017,33,information technology & services,2399080,1900000.0,https://www.linkedin.com/company/simyog-technology/,Not Defined,Not Known,0.0,0.0,Inactive
Aliste Technologies,Co-Founder,2020,37,machinery,Not Known,1900000.0,https://www.linkedin.com/company/alistetechnologies,Not Defined,Not Known,0.0,0.0,Active
Salty,Co-Founder,2017,3,online media,Not Known,1900000.0,https://www.linkedin.com/company/saltystore,NO,No Match,0.0,0.0,Active
Hempstreet Medicare,Founder & CEO,2019,38,hospital & health care,1000000,1900000.0,https://www.linkedin.com/company/hempstreetindia,Not Defined,Not Known,0.0,0.0,Not Active
Health Basix,Founder CEO,2021,49,hospital & health care,Not Known,1900000.0,https://www.linkedin.com/company/health-basix/,Not Defined,Not Known,0.0,0.0,Active
Adsys,Chief Executive Officer,2021,24,medical devices,Not Known,1900000.0,https://www.linkedin.com/company/adsysmed/,Not Defined,Not Known,0.0,0.0,Active
Grapevine,Co-Founder,2014,53,marketing & advertising,Not Known,1900000.0,https://www.linkedin.com/company/grapevineindia,Not Defined,Not Known,0.0,0.0,Inactive
ReFit Global,Co-Founder and CEO,2017,29,consumer services,Not Known,1900000.0,https://www.linkedin.com/company/refit-global,Not Defined,Not Known,0.0,0.0,Not Active
Bag2Bag Hotels and Homes,Founder,2019,34,hospitality,Not Known,1900000.0,https://www.linkedin.com/company/bag2bag/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Not Active
FarmOR,Co-Founder,2021,21,farming,Not Known,1900000.0,https://www.linkedin.com/company/farmor-ag,Not Defined,Not Known,0.0,0.0,Active
Country Chicken Co.,Co-Founder and Chief Operating Officer,2018,47,food & beverages,Not Known,1900000.0,http://www.linkedin.com/company/countrychickenco,NO,No Match,0.0,0.0,Not Active
FitBudd,Co-Founder,2020,50,"health, wellness & fitness",3400000,1900000.0,https://www.linkedin.com/company/fitbudd,Not Defined,Not Known,0.0,0.0,Active
Hoovu Fresh,Chief Executive Officer and Co-Founder,2019,22,retail,120873,1900000.0,https://www.linkedin.com/company/hoovu-fresh/,Not Defined,Not Known,0.0,0.0,Not Active
